"Market Name","Date","Index","% Change (YoY)"
"Dallas-Fort Worth-Arlington","2008-10-01","104.03","-0.02180"
"Dallas-Fort Worth-Arlington","2008-07-01","106.71","-0.01240"
"Dallas-Fort Worth-Arlington","2008-04-01","107","-0.01140"
"Dallas-Fort Worth-Arlington","2008-01-01","105.77","-0.01070"
"Dallas-Fort Worth-Arlington","2007-10-01","106.35","-0.00110"
"Dallas-Fort Worth-Arlington","2007-07-01","108.05","0.01010"
"Dallas-Fort Worth-Arlington","2007-04-01","108.23","0.01850"
"Dallas-Fort Worth-Arlington","2007-01-01","106.91","0.02120"
"Dallas-Fort Worth-Arlington","2006-10-01","106.47","0.02290"
"Dallas-Fort Worth-Arlington","2006-07-01","106.97","0.03910"
"Dallas-Fort Worth-Arlington","2006-04-01","106.27","0.04440"
"Dallas-Fort Worth-Arlington","2006-01-01","104.69","0.04690"
"Dallas-Fort Worth-Arlington","2005-10-01","104.08","0.00000"
"Dallas-Fort Worth-Arlington","2005-07-01","102.94","0.00000"
"Dallas-Fort Worth-Arlington","2005-04-01","101.76","0.00000"
"Dallas-Fort Worth-Arlington","2005-01-01","100","0.00000"
